scenario,control_case,control_case_name,duration_s,final_x_m,final_y_m,final_psi_deg,max_abs_y_error_m,rms_y_error_m,mean_Vx_m_s,max_abs_Vy_m_s,max_abs_beta_deg,max_abs_r_rad_s,max_abs_ay_m_s2,max_abs_Mz_cmd_Nm,control_effort_Mz_Nm_s,max_abs_Mz_applied_Nm,control_effort_Mz_applied_Nm_s,max_abs_Mz_tracking_error_Nm,mean_total_wheel_torque_Nm,max_abs_wheel_torque_Nm,max_abs_T_FL_Nm,max_abs_T_FR_Nm,max_abs_T_RL_Nm,max_abs_T_RR_Nm,max_abs_torque_difference_RL_Nm,max_abs_total_torque_saturation_error_Nm,min_mu,mean_mu,time_beta_over_3deg_s,time_abs_beta_above_3deg_s
double_lane_change,0,without_control,12,277.586711417736,3.59130729029584,-6.22589681058852,7.334455431347,2.40779735830695,20.5718897579055,0.805457374626454,1.84836325918917,0.44302760498439,8.80792838759822,10757.9124497881,44930.704235531,0,0,10757.9124497881,1200,300,300,300,300,300,0,0,0.9,0.899999999999995,0,0
double_lane_change,1,stability_control,12,278.688621287311,3.04214579168059,0.112383090474574,4.66964430255669,1.8694764507356,19.9744031804581,0.507528980483811,1.26345017824763,0.488666741755735,8.829,6766.72533397138,22798.6289870067,6766.72533397138,22798.6289870067,1.81898940354586e-12,1200,300,300,300,300,300,0,0,0.9,0.899999999999993,0,0
double_lane_change,2,torque_vectoring,12,278.689096698774,3.04350163224227,0.11512687951291,4.66686367120296,1.8638757701381,19.9799630616742,0.507606501115737,1.26277693464858,0.489576902625755,8.829,6839.72811294136,22901.8104248226,6839.72811294136,22901.8104248226,1.81898940354586e-12,1200,1202.84411090826,901.89607393884,879.019877382819,1202.84411090826,1168.52981607423,3009.4803696942,2.27373675443232e-13,0.9,0.899999999999993,0,0
aggressive_corner,0,without_control,14,334.782018195608,68.5724897170092,18.6005597683701,10.0202777808071,3.57495086410618,22.176611368289,0.651981454286809,1.25517602496401,0.194282749109389,5.46602818397473,12000,21942.0259488241,0,0,12000,1200,300,300,300,300,300,0,0,0.9,0.899999999999993,0,0
aggressive_corner,1,stability_control,14,335.87847900268,61.248701600698,19.6754988121893,1.30102929126954,0.498518379466168,25.423183643115,0.134713682320861,0.252197115171985,0.0792098827168262,1.63461770251958,534.898372587168,3840.69540259427,534.898372587168,3840.69540259427,2.8421709430404e-13,1200,300,300,300,300,300,0,0,0.9,0.900000000000004,0,0
aggressive_corner,2,torque_vectoring,14,335.878420231207,61.2489242312404,19.6780935996692,1.3009663514986,0.495835336518,25.4778129317252,0.134298439654625,0.251424481807141,0.0791803829781908,1.63399051539941,534.323166216312,3842.36586499888,534.323166216312,3842.36586499888,3.41060513164848e-13,1200,370.530657940553,347.020438627035,309.524049550345,370.530657940553,314.286074325517,235.102193135177,0,0.9,0.900000000000005,0,0
low_mu_lane_change,0,without_control,12,280.054843543749,-2.48578459628955,-0.29773536408918,2.56732683739209,1.05471258368105,20.2002476217125,0.190813594662487,0.512705023989184,0.299551955715096,5.20867456924037,1644.94283347392,3790.94506369955,0,0,1644.94283347392,1200,300,300,300,300,300,0,0,0.45,0.733464260804985,0,0
low_mu_lane_change,1,stability_control,12,280.438352550598,-3.00172167471516,0.00391969725236069,3.34536210568271,1.34962783441341,18.8041267486698,0.180990766384941,0.501195422645365,0.219457548674428,5.03675906127925,6579.77133389567,1925.48434004805,6579.77133389567,1925.48434004805,9.09494701772928e-13,1200,300,300,300,300,300,0,0,0.45,0.809152626720519,0,0
low_mu_lane_change,2,torque_vectoring,12,280.427926798669,-3.00152696868413,0.00507894367679026,3.34544555168557,1.34960707580158,18.8148457678336,0.181245662402438,0.501953828750183,0.219688843200911,5.03896452387962,6579.77133389567,1925.39947020848,6579.77133389567,1925.39947020848,1.81898940354586e-12,1200,1168.52981607423,437.187384000333,879.019877382819,568.529816074228,1168.52981607423,2895.09938691409,2.27373675443232e-13,0.45,0.808973807936262,0,0
high_speed_low_mu_slalom,0,without_control,13,-234.22198328071,-336.208754991598,-285.571492741084,389.235522518381,74.1213589745882,21.9329962326557,184.56533248578,215.708228591411,0.530460461418394,7.848,12000,124445.318489463,0,0,12000,2400,600,600,600,600,600,0,0,0.5,0.738674087738337,3.31086142322097,3.31086142322097
high_speed_low_mu_slalom,1,stability_control,13,430.294916184604,-0.00410146337825779,-0.0100981549050327,4.22513759544493,1.67053383600278,23.0956504762713,0.876784350143406,1.83198397660826,0.45743303566029,4.905,12000,20800.4265518585,7729.14416761364,16942.096674539,4270.85583238636,2400,600,600,600,600,600,0,0,0.5,0.684962442215949,0,0
high_speed_low_mu_slalom,2,torque_vectoring,13,407.387740726431,-0.00725737113010066,0.00235193337402946,4.21810397195949,1.68938983727422,22.2062636123794,1.35087664822562,2.93741645028508,0.464411580043609,4.905,12000,23890.2960297929,7729.14416761364,18726.9528402371,4270.85583238636,2136.54835636397,1025.72501625,1025.72501625,1025.72501625,959.54920875,959.54920875,3400.82343375,1830.27498375,0.5,0.691797798545978,0,0
